Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms]
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg
1,3,49545.6,148508,9765,29295,9675.33,29026,89.6667,269,0.918245,0.918245,1.2915,1.29048,1843.31,2316.87,2.44732,2.44695,1.68333,1.65,26.3512,26.7747
2,3,50005,149981,9765,29295,9765,29295,0,0,0,0,0.502062,0.501676,11.2803,12.2379,0.504635,0.504635,0.55,0.55,0.135492,0.135743
3,3,49532,148522,9765,29295,9672.67,29018,92.3333,277,0.945554,0.945554,1.029,0.50223,1342.41,2915.22,2.34759,2.33927,1.31667,1.45,24.0219,29.3039
4,3,49965.6,149794,9765,29295,9757.33,29272,7.66667,23,0.0785117,0.0785117,0.765236,0.501127,358.374,1048.36,1.62403,1.62228,0.916667,0.55,14.2352,24.4916
5,3,49994.8,149921,9765,29295,9763,29289,2,6,0.0204813,0.0204813,0.502784,0.50119,45.0647,101.396,0.543446,0.54343,0.55,0.55,0.513006,0.708009
6,3,49649.8,148786,9765,29295,9695.67,29087,69.3333,208,0.710019,0.710019,1.02757,0.502644,66.1741,139.096,1.75471,1.74796,1.35,1.55,2.51698,3.88918
7,3,49980.9,149785,9765,29295,9760.33,29281,4.66667,14,0.0477897,0.0477897,1.03096,0.50199,42.1104,105.411,1.36866,1.36785,1.28333,0.55,0.913664,1.84513
8,3,49842.7,149219,9765,29295,9733.67,29201,31.3333,94,0.320874,0.320874,0.503902,0.503248,48.8055,107.438,0.974997,0.972211,0.55,0.55,1.71389,2.62924
9,3,50005,149844,9765,29295,9765,29295,0,0,0,0,0.501846,0.501433,14.3364,19.6057,0.504072,0.504072,0.55,0.55,0.152623,0.157722
10,3,38734,116184,9765,29295,7564,22692,2201,6603,22.5397,22.5397,0.503069,0.502176,357.599,1018.94,1.10465,1.17148,0.816667,0.55,8.94515,16.531

,Min,=MIN(C3:C12),=MIN(D3:D12),=MIN(E3:E12),=MIN(F3:F12),=MIN(G3:G12),=MIN(H3:H12),=MIN(I3:I12),=MIN(J3:J12),=MIN(K3:K12),=MIN(L3:L12),=MIN(M3:M12),=MIN(N3:N12),=MIN(O3:O12),=MIN(P3:P12),=MIN(Q3:Q12),=MIN(R3:R12),=MIN(S3:S12),=MIN(T3:T12),=MIN(U3:U12),=MIN(V3:V12)
,Max,=MAX(C3:C12),=MAX(D3:D12),=MAX(E3:E12),=MAX(F3:F12),=MAX(G3:G12),=MAX(H3:H12),=MAX(I3:I12),=MAX(J3:J12),=MAX(K3:K12),=MAX(L3:L12),=MAX(M3:M12),=MAX(N3:N12),=MAX(O3:O12),=MAX(P3:P12),=MAX(Q3:Q12),=MAX(R3:R12),=MAX(S3:S12),=MAX(T3:T12),=MAX(U3:U12),=MAX(V3:V12)
,Average,=AVERAGE(C3:C12),=AVERAGE(D3:D12),=AVERAGE(E3:E12),=AVERAGE(F3:F12),=AVERAGE(G3:G12),=AVERAGE(H3:H12),=AVERAGE(I3:I12),=AVERAGE(J3:J12),=AVERAGE(K3:K12),=AVERAGE(L3:L12),=AVERAGE(M3:M12),=AVERAGE(N3:N12),=AVERAGE(O3:O12),=AVERAGE(P3:P12),=AVERAGE(Q3:Q12),=AVERAGE(R3:R12),=AVERAGE(S3:S12),=AVERAGE(T3:T12),=AVERAGE(U3:U12),=AVERAGE(V3:V12)
,Median,=MEDIAN(C3:C12),=MEDIAN(D3:D12),=MEDIAN(E3:E12),=MEDIAN(F3:F12),=MEDIAN(G3:G12),=MEDIAN(H3:H12),=MEDIAN(I3:I12),=MEDIAN(J3:J12),=MEDIAN(K3:K12),=MEDIAN(L3:L12),=MEDIAN(M3:M12),=MEDIAN(N3:N12),=MEDIAN(O3:O12),=MEDIAN(P3:P12),=MEDIAN(Q3:Q12),=MEDIAN(R3:R12),=MEDIAN(S3:S12),=MEDIAN(T3:T12),=MEDIAN(U3:U12),=MEDIAN(V3:V12)
,Std. deviation,=STDEV(C3:C12)/SQRT(10),=STDEV(D3:D12)/SQRT(10),=STDEV(E3:E12)/SQRT(10),=STDEV(F3:F12)/SQRT(10),=STDEV(G3:G12)/SQRT(10),=STDEV(H3:H12)/SQRT(10),=STDEV(I3:I12)/SQRT(10),=STDEV(J3:J12)/SQRT(10),=STDEV(K3:K12)/SQRT(10),=STDEV(L3:L12)/SQRT(10),=STDEV(M3:M12)/SQRT(10),=STDEV(N3:N12)/SQRT(10),=STDEV(O3:O12)/SQRT(10),=STDEV(P3:P12)/SQRT(10),=STDEV(Q3:Q12)/SQRT(10),=STDEV(R3:R12)/SQRT(10),=STDEV(S3:S12)/SQRT(10),=STDEV(T3:T12)/SQRT(10),=STDEV(U3:U12)/SQRT(10),=STDEV(V3:V12)/SQRT(10)
